seed,correct,total,accuracy,difference_vs_reference,wins,losses
440826,133,268,0.4962686567164179,0.011194029850746268,16,13
440827,131,268,0.48880597014925375,0.0037313432835820895,13,12
440828,132,268,0.4925373134328358,0.007462686567164179,16,14
440829,129,268,0.48134328358208955,-0.0037313432835820895,12,13
440830,132,268,0.4925373134328358,0.007462686567164179,16,14
440831,134,268,0.5,0.014925373134328358,16,12
