video_id,source,arm,protocol,repeat_index,frame_position,baseline_allocated_bytes,peak_allocated_bytes,incremental_peak_bytes
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:human_k16_seed440831,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,0,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,1,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,2,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,3,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,4,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,5,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,6,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,7,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,8,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,policy:pretrained_k16,batch16,9,,105879552,115637760,9758208
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,0,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,1,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,2,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,3,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,4,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,5,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,6,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,7,,107059200,177568768,70509568
AVAD/V39_Guitar4,AVAD,tome_r5,batch16,8,,107059200,177568768,70509568
