video_id,source,reference,human_mean,reference_mean,difference
AVAD/V39_Guitar4,AVAD,pretrained,0.6071110864480337,0.7087944149971008,-0.10168332854906714
AVAD/V40_Guitar5,AVAD,pretrained,0.47747161487738293,0.6438632607460022,-0.16639164586861926
Coutrot_db1/clip21,Coutrot_db1,pretrained,0.44417522350947064,0.4619733393192291,-0.017798115809758486
Coutrot_db1/clip36,Coutrot_db1,pretrained,0.29094991087913513,0.32940053939819336,-0.03845062851905823
Coutrot_db2/clip12,Coutrot_db2,pretrained,0.4853303134441376,0.5227101445198059,-0.037379831075668335
Coutrot_db2/clip9,Coutrot_db2,pretrained,0.5328291356563568,0.4375273287296295,0.0953018069267273
DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,pretrained,0.48996157944202423,0.5345212817192078,-0.04455970227718353
DIEM/scottish_parliament_1152x864,DIEM,pretrained,0.42897828420003253,0.42123040556907654,0.0077478786309559955
ETMD_av/CRA_1_color,ETMD_av,pretrained,0.5875732103983561,0.49258673191070557,0.09498647848765052
ETMD_av/CRA_2_color,ETMD_av,pretrained,0.5040548245112101,0.6191427707672119,-0.11508794625600183
SumMe/Kids_playing_in_leaves,SumMe,pretrained,0.41262347002824146,0.4878387153148651,-0.07521524528662366
SumMe/Paintball,SumMe,pretrained,0.37146707872549695,0.243917778134346,0.12754930059115094
AVAD/V39_Guitar4,AVAD,random,0.6071110864480337,0.5785836353898048,0.028527451058228848
AVAD/V40_Guitar5,AVAD,random,0.47747161487738293,0.6139791421592236,-0.13650752728184062
Coutrot_db1/clip21,Coutrot_db1,random,0.44417522350947064,0.41511619836091995,0.029059025148550688
Coutrot_db1/clip36,Coutrot_db1,random,0.29094991087913513,0.32088038697838783,-0.0299304760992527
Coutrot_db2/clip12,Coutrot_db2,random,0.4853303134441376,0.5150838401168585,-0.02975352667272091
Coutrot_db2/clip9,Coutrot_db2,random,0.5328291356563568,0.4864044822752476,0.04642465338110924
DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,random,0.48996157944202423,0.5722439922392368,-0.0822824127972126
DIEM/scottish_parliament_1152x864,DIEM,random,0.42897828420003253,0.4280530735850334,0.0009252106149991168
ETMD_av/CRA_1_color,ETMD_av,random,0.5875732103983561,0.5312969516962767,0.05627625870207942
ETMD_av/CRA_2_color,ETMD_av,random,0.5040548245112101,0.5469141155481339,-0.04285929103692376
SumMe/Kids_playing_in_leaves,SumMe,random,0.41262347002824146,0.4466937128454447,-0.03407024281720322
SumMe/Paintball,SumMe,random,0.37146707872549695,0.30711084976792336,0.06435622895757359
AVAD/V39_Guitar4,AVAD,central_k16,0.6071110864480337,0.5883889198303223,0.018722166617711422
AVAD/V40_Guitar5,AVAD,central_k16,0.47747161487738293,0.4889068007469177,-0.011435185869534792
Coutrot_db1/clip21,Coutrot_db1,central_k16,0.44417522350947064,0.4497380554676056,-0.005562831958134951
Coutrot_db1/clip36,Coutrot_db1,central_k16,0.29094991087913513,0.27723923325538635,0.01371067762374878
Coutrot_db2/clip12,Coutrot_db2,central_k16,0.4853303134441376,0.6087732315063477,-0.12344291806221008
Coutrot_db2/clip9,Coutrot_db2,central_k16,0.5328291356563568,0.6163178086280823,-0.08348867297172546
DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,central_k16,0.48996157944202423,0.47543707489967346,0.014524504542350769
DIEM/scottish_parliament_1152x864,DIEM,central_k16,0.42897828420003253,0.3680505156517029,0.06092776854832965
ETMD_av/CRA_1_color,ETMD_av,central_k16,0.5875732103983561,0.5885298252105713,-0.0009566148122152063
ETMD_av/CRA_2_color,ETMD_av,central_k16,0.5040548245112101,0.5398598909378052,-0.03580506642659509
SumMe/Kids_playing_in_leaves,SumMe,central_k16,0.41262347002824146,0.4340863823890686,-0.021462912360827147
SumMe/Paintball,SumMe,central_k16,0.37146707872549695,0.33911630511283875,0.0323507736126582
