policy,video_id,source,clip_index,frames,cold_first_batch,single_execution_seconds,attn_mode,generation_autocast,cuda_version,gpu_name,parameter_dtype,timing_scope
human_k16_seed440827,Coutrot_db2/clip9,Coutrot_db2,5,16,False,0.38726934790611267,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,6,16,False,0.3873136378824711,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,DIEM/scottish_parliament_1152x864,DIEM,7,16,False,0.38218092173337936,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,ETMD_av/CRA_1_color,ETMD_av,8,16,False,0.3812827989459038,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,ETMD_av/CRA_2_color,ETMD_av,9,16,False,0.3936156826093793,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,SumMe/Kids_playing_in_leaves,SumMe,10,16,False,0.39315593522042036,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440827,SumMe/Paintball,SumMe,11,16,False,0.39520708192139864,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,AVAD/V39_Guitar4,AVAD,0,16,True,0.3787017883732915,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,AVAD/V40_Guitar5,AVAD,1,16,False,0.38064315915107727,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,Coutrot_db1/clip21,Coutrot_db1,2,16,False,0.37670609075576067,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
human_k16_seed440828,Coutrot_db1/clip36,Coutrot_db1,3,16,False,0.3750955108553171,sdpa,,13.0,NVIDIA RTX A2000 12GB,float32,"Single execution wall time per batch: normalized RGB already on device, model.generate plus mask construction, CUDA synchronized. No warmup/repetition; first batch is cold. Excludes load/normalization/copy. Not a latency benchmark."
