family,replicates,replicate_kind,mean,replicate_min,replicate_max,replicate_sd,video_ci90_low,video_ci90_high
human,6,training endpoint,0.46937714434332317,0.46817216525475186,0.47118151436249417,0.0012263698059120317,0.44692878507905537,0.49265030937062365
random,16,random-mask seed,0.4801966984135409,0.4743700250983238,0.4902465020616849,0.003997356026014688,0.4583218623884022,0.5025430832368631
pretrained,1,deterministic control,0.49195889259378117,0.49195889259378117,0.49195889259378117,0.0,0.45946215217312175,0.5256757090489069
central_k16,1,deterministic control,0.48120367030302685,0.48120367030302685,0.48120367030302685,0.0,0.45762717723846436,0.5057281851768494
