protocol,group,video_id,source,endpoint_count,ms_per_frame
batch16,tome_r5,ETMD_av/CRA_2_color,ETMD_av,1,2.9899452347308397
batch16,tome_r5,SumMe/Kids_playing_in_leaves,SumMe,1,2.986582083394751
batch16,tome_r5,SumMe/Paintball,SumMe,1,2.9961727850604802
batch16,tome_r10,AVAD/V39_Guitar4,AVAD,1,2.50740785850212
batch16,tome_r10,AVAD/V40_Guitar5,AVAD,1,2.5144552637357265
batch16,tome_r10,Coutrot_db1/clip21,Coutrot_db1,1,2.508140489226207
batch16,tome_r10,Coutrot_db1/clip36,Coutrot_db1,1,2.5085192755796015
batch16,tome_r10,Coutrot_db2/clip12,Coutrot_db2,1,2.527344971895218
batch16,tome_r10,Coutrot_db2/clip9,Coutrot_db2,1,2.519501489587128
batch16,tome_r10,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,1,2.521998161682859
batch16,tome_r10,DIEM/scottish_parliament_1152x864,DIEM,1,2.5238330417778343
batch16,tome_r10,ETMD_av/CRA_1_color,ETMD_av,1,2.5051810080185533
batch16,tome_r10,ETMD_av/CRA_2_color,ETMD_av,1,2.508855046471581
batch16,tome_r10,SumMe/Kids_playing_in_leaves,SumMe,1,2.512549515813589
batch16,tome_r10,SumMe/Paintball,SumMe,1,2.508578705601394
batch16,tome_r15,AVAD/V39_Guitar4,AVAD,1,2.0192516676615924
batch16,tome_r15,AVAD/V40_Guitar5,AVAD,1,1.9909797993022949
batch16,tome_r15,Coutrot_db1/clip21,Coutrot_db1,1,1.9991330918855965
batch16,tome_r15,Coutrot_db1/clip36,Coutrot_db1,1,1.9979670469183475
batch16,tome_r15,Coutrot_db2/clip12,Coutrot_db2,1,2.005756483413279
batch16,tome_r15,Coutrot_db2/clip9,Coutrot_db2,1,1.99615559540689
batch16,tome_r15,DIEM/home_movie_Charlie_bit_my_finger_again_960x720,DIEM,1,2.006346097914502
batch16,tome_r15,DIEM/scottish_parliament_1152x864,DIEM,1,2.0070682803634554
batch16,tome_r15,ETMD_av/CRA_1_color,ETMD_av,1,2.0007969869766384
batch16,tome_r15,ETMD_av/CRA_2_color,ETMD_av,1,2.0039632508996874
batch16,tome_r15,SumMe/Kids_playing_in_leaves,SumMe,1,2.004304522415623
batch16,tome_r15,SumMe/Paintball,SumMe,1,2.0039826922584325
batch1,dense,AVAD/V39_Guitar4,AVAD,1,11.067482992075384
batch1,dense,SumMe/Kids_playing_in_leaves,SumMe,1,10.977406520396471
batch1,human,AVAD/V39_Guitar4,AVAD,6,8.602654003576996
batch1,human,SumMe/Kids_playing_in_leaves,SumMe,6,8.515067146314928
batch1,random,AVAD/V39_Guitar4,AVAD,1,8.621804823633283
batch1,random,SumMe/Kids_playing_in_leaves,SumMe,1,8.68374202400446
batch1,central_k16,AVAD/V39_Guitar4,AVAD,1,8.607433584984392
batch1,central_k16,SumMe/Kids_playing_in_leaves,SumMe,1,8.651772775920108
batch1,pretrained,AVAD/V39_Guitar4,AVAD,1,8.539571485016495
batch1,pretrained,SumMe/Kids_playing_in_leaves,SumMe,1,8.569358062231913
batch1,tome_r5,AVAD/V39_Guitar4,AVAD,1,22.141235531307757
batch1,tome_r5,SumMe/Kids_playing_in_leaves,SumMe,1,22.002445708494633
batch1,tome_r10,AVAD/V39_Guitar4,AVAD,1,21.919262857409194
batch1,tome_r10,SumMe/Kids_playing_in_leaves,SumMe,1,21.976767427986488
batch1,tome_r15,AVAD/V39_Guitar4,AVAD,1,21.94340681307949
batch1,tome_r15,SumMe/Kids_playing_in_leaves,SumMe,1,21.81748562725261
batch1,spatial_block_r15,AVAD/V39_Guitar4,AVAD,1,33.31045585218817
batch1,spatial_block_r15,SumMe/Kids_playing_in_leaves,SumMe,1,32.996495719999075
