video_id,source,arm,group,protocol,ms_per_frame_median,ms_per_frame_q25,ms_per_frame_q75,repeats,unit
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090904,random,batch16,8.07440688367933,8.038144660531543,8.09729158936534,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090905,random,batch16,8.100404491415247,8.07291163073387,8.132895483868197,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090906,random,batch16,8.188018982764333,8.120821614284068,8.238128866651095,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090907,random,batch16,8.06216144701466,8.042138812015764,8.095993456663564,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090908,random,batch16,8.07166306185536,8.059496933128685,8.105639237328433,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090909,random,batch16,8.06845456827432,8.06343367730733,8.092511678114533,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090910,random,batch16,8.106511231744662,8.069922696449794,8.122949773678556,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090911,random,batch16,8.180914795957506,8.088849688647315,8.547902281861752,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090912,random,batch16,8.072517346590757,8.049940792261623,8.089456736342981,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090913,random,batch16,8.136212825775146,8.07379256002605,8.166528001311235,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090914,random,batch16,8.150777517585084,8.092355128610507,8.496348280459642,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090915,random,batch16,8.144275314407423,8.117887889966369,8.187835046555847,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440826,human,batch16,8.153531758580357,8.09319069958292,8.202339944546111,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440827,human,batch16,8.134940202580765,8.086749745416455,8.157336065778509,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440828,human,batch16,8.064646885031834,8.043366280617192,8.12560471240431,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440829,human,batch16,8.153015311108902,8.117384451907128,8.16243456210941,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440830,human,batch16,8.169206645106897,8.104127846308984,8.33349596359767,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440831,human,batch16,8.107661706162617,8.057837403612211,8.138198449159972,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,policy:pretrained_k16,pretrained,batch16,8.103250729618594,8.06656337226741,8.123911276925355,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,tome_r5,tome,batch16,3.012417262652889,2.9959977546241134,3.0211451230570674,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,tome_r10,tome,batch16,2.5144552637357265,2.5035354192368686,2.524604060454294,10,amortized ms/frame from one 16-frame call
AVAD/V40_Guitar5,AVAD,tome_r15,tome,batch16,1.9909797993022949,1.9869119714712724,1.9995612528873608,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,dense,dense,batch16,3.221321530872956,3.2121119875228032,3.2282981410389766,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,central_k16,central_k16,batch16,8.051506709307432,8.042827161261812,8.078316765022464,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090900,random,batch16,8.134305331623182,8.047720111790113,8.268567034974694,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090901,random,batch16,8.098857215372846,8.069775140029378,8.162797297700308,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090902,random,batch16,8.049439697060734,8.032949015614577,8.115482909488492,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090903,random,batch16,8.06891592219472,8.044791233260185,8.08547850465402,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090904,random,batch16,8.059820713242516,8.026005030842498,8.090831586741842,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090905,random,batch16,8.072308788541704,8.00601948867552,8.099695915007032,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090906,random,batch16,8.101994812022895,8.075928504695185,8.156807714840397,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090907,random,batch16,8.063512213993818,8.042577654123306,8.06997083418537,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090908,random,batch16,8.02920587011613,7.997540262294933,8.077122183749452,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090909,random,batch16,8.036471670493484,8.004313422134146,8.063844259595498,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090910,random,batch16,8.19913821760565,8.126375279971398,8.2222656783415,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090911,random,batch16,8.276284526800737,8.140230202116072,8.38078957167454,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090912,random,batch16,8.145856350893155,8.050696109421551,8.28857536544092,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090913,random,batch16,8.146766922436655,8.11086647445336,8.179737647878937,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090914,random,batch16,8.089193142950535,8.043719630222768,8.105502085527405,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,random_k16_seed2026090915,random,batch16,8.101782266749069,8.028771379031241,8.151526068104431,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440826,human,batch16,8.086247340543196,8.056867751292884,8.130546702886932,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440827,human,batch16,8.077156380750239,8.058267354499549,8.101026847725734,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440828,human,batch16,8.096988865872845,8.06673153419979,8.148062974214554,10,amortized ms/frame from one 16-frame call
Coutrot_db1/clip21,Coutrot_db1,policy:human_k16_seed440829,human,batch16,8.145636733388528,8.103679385385476,8.162518657627515,10,amortized ms/frame from one 16-frame call
