video_id,source,arm,group,cls_cosine_distance,cls_relative_l2,patch_embedding_flops,encoder_matmul_flops,matching_dot_product_flops,final_patch_tokens,encoder_and_matching_matmul_flops
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090908,random,0.6064118146896362,1.0689418315887451,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090909,random,0.6301884055137634,1.0924458503723145,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090910,random,0.6086044907569885,1.07743239402771,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090911,random,0.6257725954055786,1.091613531112671,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090912,random,0.6369897127151489,1.098357915878296,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090913,random,0.6038771271705627,1.0690431594848633,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090914,random,0.6275373697280884,1.0934319496154785,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,random_k16_seed2026090915,random,0.5783286094665527,1.047102451324463,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440826,human,0.4661593437194824,0.9555612802505493,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440827,human,0.48189255595207214,0.9705207347869873,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440828,human,0.4837249517440796,0.9746313095092773,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440829,human,0.48156577348709106,0.9713746309280396,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440830,human,0.47320133447647095,0.9627971649169922,115605504,1015547904,0,16,1015547904
AVAD/V40_Guitar5,AVAD,policy:human_k16_seed440831,human,0.4782857298851013,0.9687107801437378,115605504,1015547904,0,16,1015547904
