arm,block,attention_tokens,mlp_tokens,final_patch_tokens,restored_patches_after_each_block
random_k16_seed2026090909,8,21,21,16,
random_k16_seed2026090909,9,21,21,16,
random_k16_seed2026090909,10,21,21,16,
random_k16_seed2026090909,11,21,21,16,
random_k16_seed2026090910,0,21,21,16,
random_k16_seed2026090910,1,21,21,16,
random_k16_seed2026090910,2,21,21,16,
random_k16_seed2026090910,3,21,21,16,
random_k16_seed2026090910,4,21,21,16,
random_k16_seed2026090910,5,21,21,16,
random_k16_seed2026090910,6,21,21,16,
random_k16_seed2026090910,7,21,21,16,
random_k16_seed2026090910,8,21,21,16,
random_k16_seed2026090910,9,21,21,16,
random_k16_seed2026090910,10,21,21,16,
random_k16_seed2026090910,11,21,21,16,
random_k16_seed2026090911,0,21,21,16,
random_k16_seed2026090911,1,21,21,16,
random_k16_seed2026090911,2,21,21,16,
random_k16_seed2026090911,3,21,21,16,
random_k16_seed2026090911,4,21,21,16,
random_k16_seed2026090911,5,21,21,16,
random_k16_seed2026090911,6,21,21,16,
random_k16_seed2026090911,7,21,21,16,
random_k16_seed2026090911,8,21,21,16,
random_k16_seed2026090911,9,21,21,16,
random_k16_seed2026090911,10,21,21,16,
random_k16_seed2026090911,11,21,21,16,
random_k16_seed2026090912,0,21,21,16,
random_k16_seed2026090912,1,21,21,16,
random_k16_seed2026090912,2,21,21,16,
random_k16_seed2026090912,3,21,21,16,
random_k16_seed2026090912,4,21,21,16,
random_k16_seed2026090912,5,21,21,16,
random_k16_seed2026090912,6,21,21,16,
random_k16_seed2026090912,7,21,21,16,
random_k16_seed2026090912,8,21,21,16,
random_k16_seed2026090912,9,21,21,16,
random_k16_seed2026090912,10,21,21,16,
random_k16_seed2026090912,11,21,21,16,
random_k16_seed2026090913,0,21,21,16,
random_k16_seed2026090913,1,21,21,16,
random_k16_seed2026090913,2,21,21,16,
random_k16_seed2026090913,3,21,21,16,
random_k16_seed2026090913,4,21,21,16,
random_k16_seed2026090913,5,21,21,16,
random_k16_seed2026090913,6,21,21,16,
random_k16_seed2026090913,7,21,21,16,
random_k16_seed2026090913,8,21,21,16,
random_k16_seed2026090913,9,21,21,16,
random_k16_seed2026090913,10,21,21,16,
random_k16_seed2026090913,11,21,21,16,
random_k16_seed2026090914,0,21,21,16,
random_k16_seed2026090914,1,21,21,16,
random_k16_seed2026090914,2,21,21,16,
random_k16_seed2026090914,3,21,21,16,
random_k16_seed2026090914,4,21,21,16,
random_k16_seed2026090914,5,21,21,16,
random_k16_seed2026090914,6,21,21,16,
random_k16_seed2026090914,7,21,21,16,
random_k16_seed2026090914,8,21,21,16,
random_k16_seed2026090914,9,21,21,16,
random_k16_seed2026090914,10,21,21,16,
random_k16_seed2026090914,11,21,21,16,
random_k16_seed2026090915,0,21,21,16,
random_k16_seed2026090915,1,21,21,16,
random_k16_seed2026090915,2,21,21,16,
random_k16_seed2026090915,3,21,21,16,
random_k16_seed2026090915,4,21,21,16,
random_k16_seed2026090915,5,21,21,16,
random_k16_seed2026090915,6,21,21,16,
random_k16_seed2026090915,7,21,21,16,
random_k16_seed2026090915,8,21,21,16,
random_k16_seed2026090915,9,21,21,16,
random_k16_seed2026090915,10,21,21,16,
random_k16_seed2026090915,11,21,21,16,
policy:human_k16_seed440826,0,21,21,16,
policy:human_k16_seed440826,1,21,21,16,
policy:human_k16_seed440826,2,21,21,16,
policy:human_k16_seed440826,3,21,21,16,
policy:human_k16_seed440826,4,21,21,16,
policy:human_k16_seed440826,5,21,21,16,
policy:human_k16_seed440826,6,21,21,16,
policy:human_k16_seed440826,7,21,21,16,
policy:human_k16_seed440826,8,21,21,16,
policy:human_k16_seed440826,9,21,21,16,
policy:human_k16_seed440826,10,21,21,16,
policy:human_k16_seed440826,11,21,21,16,
policy:human_k16_seed440827,0,21,21,16,
policy:human_k16_seed440827,1,21,21,16,
policy:human_k16_seed440827,2,21,21,16,
policy:human_k16_seed440827,3,21,21,16,
policy:human_k16_seed440827,4,21,21,16,
policy:human_k16_seed440827,5,21,21,16,
policy:human_k16_seed440827,6,21,21,16,
policy:human_k16_seed440827,7,21,21,16,
policy:human_k16_seed440827,8,21,21,16,
policy:human_k16_seed440827,9,21,21,16,
policy:human_k16_seed440827,10,21,21,16,
policy:human_k16_seed440827,11,21,21,16,
policy:human_k16_seed440828,0,21,21,16,
policy:human_k16_seed440828,1,21,21,16,
policy:human_k16_seed440828,2,21,21,16,
policy:human_k16_seed440828,3,21,21,16,
policy:human_k16_seed440828,4,21,21,16,
policy:human_k16_seed440828,5,21,21,16,
policy:human_k16_seed440828,6,21,21,16,
policy:human_k16_seed440828,7,21,21,16,
policy:human_k16_seed440828,8,21,21,16,
policy:human_k16_seed440828,9,21,21,16,
policy:human_k16_seed440828,10,21,21,16,
policy:human_k16_seed440828,11,21,21,16,
policy:human_k16_seed440829,0,21,21,16,
policy:human_k16_seed440829,1,21,21,16,
policy:human_k16_seed440829,2,21,21,16,
policy:human_k16_seed440829,3,21,21,16,
policy:human_k16_seed440829,4,21,21,16,
policy:human_k16_seed440829,5,21,21,16,
policy:human_k16_seed440829,6,21,21,16,
policy:human_k16_seed440829,7,21,21,16,
policy:human_k16_seed440829,8,21,21,16,
policy:human_k16_seed440829,9,21,21,16,
policy:human_k16_seed440829,10,21,21,16,
policy:human_k16_seed440829,11,21,21,16,
policy:human_k16_seed440830,0,21,21,16,
policy:human_k16_seed440830,1,21,21,16,
policy:human_k16_seed440830,2,21,21,16,
policy:human_k16_seed440830,3,21,21,16,
policy:human_k16_seed440830,4,21,21,16,
policy:human_k16_seed440830,5,21,21,16,
policy:human_k16_seed440830,6,21,21,16,
policy:human_k16_seed440830,7,21,21,16,
policy:human_k16_seed440830,8,21,21,16,
policy:human_k16_seed440830,9,21,21,16,
policy:human_k16_seed440830,10,21,21,16,
policy:human_k16_seed440830,11,21,21,16,
policy:human_k16_seed440831,0,21,21,16,
