comparison,reference,difference,ci90_low,ci90_high,lower_is,interval
human_mean_minus_pretrained,pretrained,-0.022581748250457976,-0.05526395307646853,0.00907288762844265,human mean closer to dense,"Post-hoc descriptive 90% paired source-stratified video bootstrap interval; 10,000 draws, seed 20260909; conditional on the six fixed sources, six observed training endpoints and 16 observed random-mask replicates. Frames, seeds and timing repeats are not resampled."
human_mean_minus_random,random,-0.010819554070217743,-0.035836442373693045,0.012935076071880642,human mean closer to dense,"Post-hoc descriptive 90% paired source-stratified video bootstrap interval; 10,000 draws, seed 20260909; conditional on the six fixed sources, six observed training endpoints and 16 observed random-mask replicates. Frames, seeds and timing repeats are not resampled."
human_mean_minus_central_k16,central_k16,-0.01182652595970366,-0.021246646013524884,-0.0027973308331435964,human mean closer to dense,"Post-hoc descriptive 90% paired source-stratified video bootstrap interval; 10,000 draws, seed 20260909; conditional on the six fixed sources, six observed training endpoints and 16 observed random-mask replicates. Frames, seeds and timing repeats are not resampled."
