base_seed,mode,num_correct,question_micro_accuracy,macro_video_accuracy,num_videos,mean_decoder_spatial_actions,decoder_eos_action_rate,mean_retained_patches,mean_visual_tokens,mean_expanded_context_tokens,allocation_evidence_source,legacy_process_counter_scope_complete
440826,variable,132,0.4925373134328358,0.4938442509871082,77,7.91331995620854,0.9864719371890547,31.65327982483416,27738.003731343284,27821.89552238806,validated_question_agnostic_processor_replay,False
440826,forced_k16,137,0.5111940298507462,0.5100316350316351,77,16.0,0.0,64.0,,,coherent_exact_forced_k16_action_contract,False
440827,variable,130,0.48507462686567165,0.4739153703439417,77,7.367539742692786,0.9927195079291045,29.470158970771145,26342.35447761194,26426.246268656716,validated_question_agnostic_processor_replay,False
440827,forced_k16,135,0.503731343283582,0.5063519813519813,77,16.0,0.0,64.0,,,coherent_exact_forced_k16_action_contract,False
440828,variable,127,0.47388059701492535,0.48110460967603824,77,7.84828186541252,0.9885040941127695,31.39312746165008,27572.126865671642,27656.018656716416,validated_question_agnostic_processor_replay,False
440828,forced_k16,131,0.48880597014925375,0.48486156700442407,77,16.0,0.0,64.0,,,coherent_exact_forced_k16_action_contract,False
