budget_a,budget_b,difference,ci90_low,ci90_high,cluster_unit,num_video_clusters,iterations,bootstrap_seed
16,24,0.018656716417910446,-0.019444444444444445,0.05368289637952559,video,77,10000,20262525
16,32,0.006218905472636816,-0.05830087394847959,0.06723911887298858,video,77,10000,20262533
24,32,-0.012437810945273632,-0.06060606060606061,0.030012120192427508,video,77,10000,20263333
