control,base_seed,metric,difference,paired_video_ci90_low,paired_video_ci90_high
pretrained_exact_k16,440826,question_micro_accuracy,0.011194029850746268,-0.021897810218978103,0.046413502109704644
pretrained_exact_k16,440826,macro_video_accuracy,0.02107892107892108,-0.021180486180486173,0.06406926406926407
pretrained_exact_k16,440827,question_micro_accuracy,-0.007462686567164179,-0.034268802848242096,0.020665443571893906
pretrained_exact_k16,440827,macro_video_accuracy,-0.007183292897578611,-0.04042647828362114,0.02528423956995385
pretrained_exact_k16,440828,question_micro_accuracy,-0.011194029850746268,-0.041666666666666664,0.022935779816513763
pretrained_exact_k16,440828,macro_video_accuracy,0.002618809761666906,-0.04247419247419247,0.047228961514675795
pretrained_exact_k16,440829,question_micro_accuracy,0.0,-0.026022304832713755,0.030048310220630974
pretrained_exact_k16,440829,macro_video_accuracy,0.0236144807573379,-0.01212370962370962,0.06177156177156177
pretrained_exact_k16,440830,question_micro_accuracy,0.011194029850746268,-0.021675191815856774,0.04673294889640082
pretrained_exact_k16,440830,macro_video_accuracy,0.027139527139527136,-0.0171020646020646,0.07099567099567099
pretrained_exact_k16,440831,question_micro_accuracy,0.014925373134328358,-0.012944983818770227,0.04672897196261682
pretrained_exact_k16,440831,macro_video_accuracy,0.03718900147471576,-0.005760905760905764,0.08274689596118166
stavis_center16,440826,question_micro_accuracy,0.0,-0.02955908089188488,0.03088803088803089
stavis_center16,440826,macro_video_accuracy,-0.016048237476808905,-0.051515151515151514,0.01706864564007421
stavis_center16,440827,question_micro_accuracy,-0.018656716417910446,-0.05,0.013793103448275862
stavis_center16,440827,macro_video_accuracy,-0.0443104514533086,-0.08670531849103279,-0.007142857142857142
stavis_center16,440828,question_micro_accuracy,-0.022388059701492536,-0.0531283244680851,0.008622555605314199
stavis_center16,440828,macro_video_accuracy,-0.03450834879406309,-0.07387291280148424,-0.0002752009894867485
stavis_center16,440829,question_micro_accuracy,-0.011194029850746268,-0.03636363636363636,0.016129032258064516
stavis_center16,440829,macro_video_accuracy,-0.013512677798392086,-0.046753246753246755,0.016790352504638218
stavis_center16,440830,question_micro_accuracy,0.0,-0.03107532956685499,0.03271112999150381
stavis_center16,440830,macro_video_accuracy,-0.009987631416202847,-0.04397031539888683,0.020904452690166952
stavis_center16,440831,question_micro_accuracy,0.0037313432835820895,-0.024693053859720523,0.03460274154910833
stavis_center16,440831,macro_video_accuracy,6.184291898577591e-05,-0.03865182436611008,0.03741496598639456
