control,metric,difference,paired_video_ci90_low,paired_video_ci90_high,seed_sd,training_seed_ci90_low,training_seed_ci90_high,training_seeds,paired_video_interval_scope
pretrained_exact_k16,question_micro_accuracy,0.003109452736318406,-0.02316835339119462,0.03207514948979052,0.010921219611201587,-0.005874779948698975,0.01209368542133579,6,conditional on evaluated six training seeds
pretrained_exact_k16,macro_video_accuracy,0.017409574552431695,-0.019216141001855282,0.0541705318491032,0.016501142531193096,0.00383507377810245,0.030984075326760903,6,conditional on evaluated six training seeds
stavis_center16,question_micro_accuracy,-0.008084577114427862,-0.03368794326241134,0.02013422818791946,0.010921219611201587,-0.017068809799445223,0.0008996555705895453,6,conditional on evaluated six training seeds
stavis_center16,macro_video_accuracy,-0.01971758400329829,-0.05098613687899402,0.008529169243454952,0.016501142531193096,-0.03329208477762745,-0.006143083228968995,6,conditional on evaluated six training seeds
