JobID|JobIDRaw|JobName|State|ExitCode|Submit|Start|End|ElapsedRaw|NodeList|ReqMem|ReqCPUS|ReqTRES|AllocTRES|MaxRSS
1690935_4|1700556|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-11T13:52:21|2026-09-12T07:14:45|2026-09-12T11:48:08|16403|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4.batch|1700556.batch|batch|CANCELLED|0:15|2026-09-12T07:14:45|2026-09-12T07:14:45|2026-09-12T11:48:09|16404|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|117036760K
1690935_4.extern|1700556.extern|extern|COMPLETED|0:0|2026-09-12T07:14:45|2026-09-12T07:14:45|2026-09-12T11:48:09|16404|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5|1690935|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-11T14:48:27|2026-09-12T10:59:50|2026-09-12T13:30:27|9037|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_5.batch|1690935.batch|batch|CANCELLED|0:15|2026-09-12T10:59:50|2026-09-12T10:59:50|2026-09-12T13:30:28|9038|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|87275492K
1690935_5.extern|1690935.extern|extern|COMPLETED|0:0|2026-09-12T10:59:50|2026-09-12T10:59:50|2026-09-12T13:30:28|9038|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_0|1690936|gaze-r2f-hlvid|COMPLETED|0:0|2026-09-12T06:55:43|2026-09-13T05:40:26|2026-09-13T12:05:11|23085|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_0.batch|1690936.batch|batch|COMPLETED|0:0|2026-09-13T05:40:26|2026-09-13T05:40:26|2026-09-13T12:05:11|23085|node17||5||cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|121186424K
1690935_0.extern|1690936.extern|extern|COMPLETED|0:0|2026-09-13T05:40:26|2026-09-13T05:40:26|2026-09-13T12:05:11|23085|node17||5||billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
1690935_4|1700556|gaze-r2f-hlvid|PREEMPTED|0:0|2026-09-12T11:48:25|2026-09-13T10:28:16|2026-09-13T15:36:34|18498|node17|128G|5|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|billing=5,cpu=5,gres/gpu:a40=1,gres/gpu=1,mem=128G,node=1|
